City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
235,Pangnirtung,66.1451,-65.7125,-7.53,100,100,4.32,CA,2022-04-18 02:22:12
236,Bandar,2.05,99.75,80.91,85,100,1.45,ID,2022-04-18 02:22:12
237,Calama,-22.4667,-68.9333,45.09,14,0,10.36,CL,2022-04-18 02:22:13
238,Belmonte,-15.8631,-38.8828,76.71,77,100,12.37,BR,2022-04-18 02:22:13
239,Chuy,-33.6971,-53.4616,61.52,84,100,6.26,UY,2022-04-18 02:22:13
240,Boquira,-12.8231,-42.7306,67.8,93,81,5.3,BR,2022-04-18 02:22:14
241,Rawson,-43.3002,-65.1023,60.93,72,0,22.1,AR,2022-04-18 02:20:53
242,Egvekinot,66.3167,-179.1667,26.06,95,100,11.59,RU,2022-04-18 02:22:14
243,Bambous Virieux,-20.3428,57.7575,76.21,94,75,1.14,MU,2022-04-18 02:22:15
244,Westport,41.1415,-73.3579,44.82,50,0,4.61,US,2022-04-18 02:19:09
245,Presidencia Roque Saenz Pena,-26.7852,-60.4388,58.39,88,0,4.92,AR,2022-04-18 02:22:15
246,Hasaki,35.7333,140.8333,70.29,66,100,12.03,JP,2022-04-18 02:21:37
247,Byron Bay,-28.65,153.6167,73.94,65,80,5.99,AU,2022-04-18 02:22:15
248,Seguin,29.5688,-97.9647,81.03,69,40,5.75,US,2022-04-18 02:22:16
249,Riviere-Au-Renard,48.9957,-64.3971,35.89,95,100,24.2,CA,2022-04-18 02:22:16
250,Saint-Pierre,-21.3393,55.4781,74.28,82,20,3.44,RE,2022-04-18 02:22:17
251,Roald,62.5833,6.1333,46.33,93,100,0.0,NO,2022-04-18 02:22:17
252,Russkaya Polyana,49.417,31.9201,33.03,95,99,8.34,UA,2022-04-18 02:22:17
253,Nesna,66.1967,13.0213,43.66,78,100,11.52,NO,2022-04-18 02:22:18
254,Pirovskoye,57.6267,92.2658,37.96,75,71,11.43,RU,2022-04-18 02:22:18
255,Temir,49.1414,57.13,49.19,65,0,4.43,KZ,2022-04-18 02:22:18
256,Luanda,-8.8368,13.2343,76.23,92,100,7.65,AO,2022-04-18 02:22:19
257,Nanortalik,60.1432,-45.2371,29.41,89,45,9.91,GL,2022-04-18 02:21:49
258,Svetlogorsk,52.6333,29.7333,33.22,95,100,8.25,BY,2022-04-18 02:22:19
259,Port Keats,-14.25,129.55,90.21,54,24,2.84,AU,2022-04-18 02:22:19
260,Lavrentiya,65.5833,-171.0,31.77,97,100,15.03,RU,2022-04-18 02:22:20
261,Solnechnyy,50.7214,136.6319,33.12,84,100,3.94,RU,2022-04-18 02:22:20
262,Haines Junction,60.7522,-137.5108,33.75,34,100,3.44,CA,2022-04-18 02:20:20
263,Hay River,60.8156,-115.7999,19.38,42,20,2.3,CA,2022-04-18 02:22:21
264,Chudniv,50.052,28.1175,29.32,86,10,6.13,UA,2022-04-18 02:22:21
265,Ponta Delgada,37.7333,-25.6667,57.92,72,20,19.57,PT,2022-04-18 02:22:21
266,Lompoc,34.6391,-120.4579,61.79,77,0,14.97,US,2022-04-18 02:22:22
267,Mangaluru,12.8667,74.8833,77.86,73,20,6.91,IN,2022-04-18 02:22:22
268,Pedernales,18.0384,-71.744,78.26,70,95,8.48,DO,2022-04-18 02:22:22
269,Bilibino,68.0546,166.4372,24.37,81,99,1.54,RU,2022-04-18 02:23:23
270,Loikaw,19.6742,97.2094,85.55,41,13,1.1,MM,2022-04-18 02:23:23
271,Mayumba,-3.432,10.6554,76.66,92,100,4.07,GA,2022-04-18 02:23:23
272,Mookane,-23.688,26.6595,62.49,91,97,5.75,BW,2022-04-18 02:23:24
273,Wadena,46.4425,-95.1361,33.55,93,100,14.97,US,2022-04-18 02:23:24
274,Nsanje,-16.92,35.262,70.02,99,19,2.55,MW,2022-04-18 02:23:24
275,Manbij,36.5281,37.9549,59.77,34,100,10.13,SY,2022-04-18 02:23:25
276,Chinsali,-10.5414,32.0816,60.91,97,86,5.93,ZM,2022-04-18 02:23:25
277,Vila,42.0304,-8.1588,42.69,84,1,5.48,PT,2022-04-18 02:23:25
278,Watertown,42.3709,-71.1828,44.62,51,0,17.27,US,2022-04-18 02:19:54
279,Avera,33.194,-82.5271,71.11,81,99,2.19,US,2022-04-18 02:21:51
280,Mazagao,-0.115,-51.2894,77.05,97,100,2.84,BR,2022-04-18 02:23:26
281,Belaya Gora,68.5333,146.4167,19.45,84,99,3.11,RU,2022-04-18 02:23:26
282,Oktyabrskiy,54.4815,53.471,41.61,87,99,5.68,RU,2022-04-18 02:23:27
283,Hailakandi,24.6833,92.5667,76.32,79,60,3.85,IN,2022-04-18 02:23:27
284,Touros,-5.1989,-35.4608,79.34,81,99,8.61,BR,2022-04-18 02:23:27
285,Hofn,64.2539,-15.2082,44.17,72,7,8.81,IS,2022-04-18 02:20:28
286,San Patricio,28.017,-97.5169,77.18,85,51,7.54,US,2022-04-18 02:23:28
287,Kruisfontein,-34.0033,24.7314,59.88,87,100,4.85,ZA,2022-04-18 02:23:28
288,Raudeberg,61.9875,5.1352,45.86,78,100,9.08,NO,2022-04-18 02:23:28
289,Akom,2.6678,12.7109,66.9,97,100,1.77,CM,2022-04-18 02:23:29
290,Tuatapere,-46.1333,167.6833,62.62,55,72,1.19,NZ,2022-04-18 02:23:29
291,Nazarovo,56.0064,90.3914,42.75,85,100,9.6,RU,2022-04-18 02:23:30
292,Katsuura,35.1333,140.3,62.49,69,100,11.27,JP,2022-04-18 02:23:30
293,Tandalti,13.0167,31.8667,88.23,31,99,4.16,SD,2022-04-18 02:23:30
294,Jacareacanga,-6.2222,-57.7528,72.81,99,100,1.1,BR,2022-04-18 02:23:30
